times,high,circle,density_pre,density_eve
2452589.20007801,471.00883,95.97596,1.711e-12,1.442e-12
2452590.183455919,470.91199,72.37489,1.718e-12,1.518e-12
2452590.57680313,470.92384,86.53463,1.691e-12,1.498e-12
2452591.16682096,470.8501,72.3742,1.689e-12,1.494e-12
2452591.88794702,470.88415,78.66702,1.652e-12,1.434e-12
2452592.150173929,470.87281,72.37358,1.642e-12,1.434e-12
2452593.19907634,470.82878,73.94611,1.658e-12,1.362e-12
2452594.18241269,470.78757,72.3722,1.622e-12,1.276e-12
2452594.575744609,470.77122,86.53154,1.616e-12,1.221e-12
2452595.16573968,470.74634,72.37165,1.6e-12,1.18e-12
2452596.017948859,470.79963,75.51771,1.547e-12,1.178e-12
2452596.28016442,470.78777,86.5304,1.579e-12,1.237e-12
2452597.19792112,470.83393,95.96905,1.645e-12,1.345e-12
2452598.181225279,470.866,72.36975,1.65e-12,1.412e-12
2452598.57454408,470.87964,89.67497,1.613e-12,1.303e-12
2452599.16452019,470.89694,75.51555,1.624e-12,1.318e-12
2452599.88559758,471.00498,80.23476,1.518e-12,1.153e-12
2452600.147805059,471.0251,73.94178,1.471e-12,1.106e-12
2452601.19663133,471.14968,81.80719,1.332e-12,1.087e-12
2452602.311001359,471.27186,81.80656,1.216e-12,1.082e-12
2452603.2287125,471.35436,75.5133,1.248e-12,1.129e-12
2452603.556464939,471.1122,80.23263,1.231e-12,9.877e-13
2452604.14641501,471.1965,73.93967,1.221e-12,9.896e-13
2452604.60526444,471.16382,84.95156,1.196e-12,9.951e-13
2452605.19521246,471.26111,95.96322,1.221e-12,1.028e-12
2452605.71960806,471.28438,83.37773,1.239e-12,1.039e-12
2452606.37509999,471.34424,91.24297,1.203e-12,1.089e-12
2452606.89949135,471.41165,78.65758,1.21e-12,1.098e-12
2452607.22723479,471.40956,78.65737,1.224e-12,1.111e-12
2452608.144912939,471.48538,77.08368,1.247e-12,1.16e-12
2452609.193679989,471.59027,72.36369,1.241e-12,1.209e-12
2452610.17689055,471.73496,72.36315,1.203e-12,1.201e-12
2452610.504625319,471.72404,88.09383,1.197e-12,1.221e-12
